platform,scenario,nominal_Wh,usable_fraction,other_W,compute_fixed_W,compute_dynamic_W,compute_total_W,runtime_h,gain_pct
小型四足示例,2026基线,250,0.85,150,10,20.0,30.0,1.1805555555555556,0.0
小型四足示例,2029保守,275.0,0.85,150,10,15.384615384615383,25.384615384615383,1.3327850877192984,12.89473684210527
小型四足示例,2029中值规划,300.0,0.85,150,10,10.0,20.0,1.5,27.058823529411757
小型四足示例,2029积极,350.0,0.85,150,10,6.666666666666667,16.666666666666668,1.7850000000000001,51.2
小型四足示例,2029计算量翻倍,300.0,0.85,150,10,20.0,30.0,1.4166666666666667,19.999999999999996
中型移动机器人示例,2026基线,600,0.85,350,20,80.0,100.0,1.1333333333333333,0.0
中型移动机器人示例,2029保守,660.0,0.85,350,20,61.53846153846153,81.53846153846153,1.3,14.705882352941192
中型移动机器人示例,2029中值规划,720.0,0.85,350,20,40.0,60.0,1.4926829268292683,31.70731707317074
中型移动机器人示例,2029积极,840.0,0.85,350,20,26.666666666666668,46.66666666666667,1.7999999999999998,58.823529411764696
中型移动机器人示例,2029计算量翻倍,720.0,0.85,350,20,80.0,100.0,1.36,20.000000000000018
大型人形或工业四足示例,2026基线,2300,0.85,450,30,120.0,150.0,3.2583333333333333,0.0
大型人形或工业四足示例,2029保守,2530.0,0.85,450,30,92.3076923076923,122.3076923076923,3.7575940860215056,15.322580645161299
大型人形或工业四足示例,2029中值规划,2760.0,0.85,450,30,60.0,90.0,4.344444444444444,33.33333333333333
大型人形或工业四足示例,2029积极,3220.0,0.85,450,30,40.0,70.0,5.263461538461539,61.53846153846154
大型人形或工业四足示例,2029计算量翻倍,2760.0,0.85,450,30,120.0,150.0,3.91,19.999999999999996
轮式移动操作平台示例,2026基线,1500,0.85,150,20,80.0,100.0,5.1,0.0
轮式移动操作平台示例,2029保守,1650.0000000000002,0.85,150,20,61.53846153846153,81.53846153846153,6.057308970099667,18.770764119601324
轮式移动操作平台示例,2029中值规划,1800.0,0.85,150,20,40.0,60.0,7.285714285714286,42.85714285714286
轮式移动操作平台示例,2029积极,2100.0,0.85,150,20,26.666666666666668,46.66666666666667,9.076271186440676,77.96610169491525
轮式移动操作平台示例,2029计算量翻倍,1800.0,0.85,150,20,80.0,100.0,6.12,20.000000000000018
